lastName,fundingOrganization,programName,totalFunding,currency,researcherDesignation,firstName,otherFundingOrganization,Competitive,fundingStartDate,fundingEndDate,associate,department,title,fundingRole
Anand,Heart and Stroke Foundation of Canada (HSFC),Grant-In-Aid,470390,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-07-01,2013-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Grants in Food & Health - Pop Health Research,1996615,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-07-01,2018-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Industry Partnered Collaborative Research,999330,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-04-01,2017-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Interdisciplinary Capacity Enhancement Grant,985105,Canadian dollar,Senior Scientist,Sonia,,TRUE,2006-04-01,2011-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canada Foundation for Innovation (CFI),Leaders Opportunity Fund,797725,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-04-01,2011-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Hamilton Health Sciences Foundation,New Investigator Fund,35000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2014-07-01,2015-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Hamilton Health Sciences Foundation,New Investigator Fund,50000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-07-01,2011-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,10340,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-04-01,2021-02-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,The Canadian Foundation of Dietetic Research,Operating,18198,Canadian dollar,Senior Scientist,Sonia,The Canadian Foundation of Dietetic Research,TRUE,2013-07-01,2014-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,McMaster University,Operating,22500,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-12-01,2011-11-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,98045,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-10-01,2014-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-01-01,2011-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-03-01,2020-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-03-01,2020-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-03-01,2021-02-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-07-01,2025-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,105000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2015-09-01,2018-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,CANNeCTIN,Operating,118284,Canadian dollar,Senior Scientist,Sonia,CANNeCTIN,TRUE,2012-08-01,2014-07-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Labarge,Operating,122000,Canadian dollar,Senior Scientist,Sonia,Labarge,TRUE,2013-01-01,2013-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,150000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2015-07-01,2017-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,168663,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-10-01,2011-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,229500,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-07-01,2024-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,269400,Canadian dollar,Senior Scientist,Sonia,,TRUE,2008-07-01,2011-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Hamilton Health Sciences Foundation,Operating,297705,Canadian dollar,Senior Scientist,Sonia,,TRUE,2016-04-01,2018-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,331203,Canadian dollar,Senior Scientist,Sonia,,TRUE,2016-04-01,2021-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,331203,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-04-01,2021-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,336000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-07-01,2023-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,363375,Canadian dollar,Senior Scientist,Sonia,,TRUE,2019-03-01,2022-04-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,382555,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-04-01,2022-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,499999,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-07-01,2021-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Public Health Agency of Canada (PHAC),Operating,500000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-07-01,2023-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Public Health Agency of Canada (PHAC),Operating,500000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-07-01,2023-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,513156,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-03-01,2012-02-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,650640,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-09-01,2013-08-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,682225,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-10-01,2026-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,719836,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-07-01,2013-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,747829,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-01-01,2017-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,761176,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-10-01,2026-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,800000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2018-04-01,2021-04-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,938751,Canadian dollar,Senior Scientist,Sonia,,TRUE,2004-06-01,2012-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Sanofi-Aventis (Canada),Operating,1000000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-04-01,2017-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,1022194,Canadian dollar,Senior Scientist,Sonia,,TRUE,2014-10-01,2019-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,1277590,Canadian dollar,Senior Scientist,Sonia,,TRUE,2016-01-01,2021-01-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Public Health Agency of Canada (PHAC),Operating,1472336,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-04-01,2023-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Public Health Agency of Canada (PHAC),Operating,1497163,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-04-01,2023-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Operating,1999852,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-01-01,2017-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,2500000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-07-01,2026-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Heart and Stroke Foundation of Canada (HSFC),Operating,2899999,Canadian dollar,Senior Scientist,Sonia,,TRUE,2021-09-01,2021-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,2937119,Canadian dollar,Senior Scientist,Sonia,,TRUE,2020-05-01,2021-05-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating,3684006,Canadian dollar,Senior Scientist,Sonia,,TRUE,2012-04-01,2016-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Genome Canada,Operating,10400000,Canadian dollar,Senior Scientist,Sonia,Genome Canada,TRUE,2018-04-01,2022-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Partnership Against Cancer,Operating,13998613,Canadian dollar,Senior Scientist,Sonia,,TRUE,2013-01-01,2017-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating (Strategy on Patient Oriented Research),100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-10-01,2011-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating Grant,327582,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-10-01,2013-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating Grant,407253,Canadian dollar,Senior Scientist,Sonia,,TRUE,2012-07-01,2015-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Operating Grant,23500000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2009-04-01,2014-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Genome Quebec,Pilot Project,100000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-10-01,2011-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Dairy Farmers of Canada,Project Grant,140000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2018-04-01,2020-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Project Grant,1250000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2018-10-01,2023-09-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,National Institutes of Health (NIH) (USA),Request for Funding (RFA),1462388,Canadian dollar,Senior Scientist,Sonia,,TRUE,2007-09-01,2011-07-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Eli Lilly Canada Inc.,Research Chair,70000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-05-01,2013-12-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canada Foundation for Innovation (CFI),Research Hospital Fund - Large Scale Institutional Endeavour,38822891,Canadian dollar,Senior Scientist,Sonia,,TRUE,2008-07-01,2013-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Networks of Centres of Excellence (NCE),Strategic Initiatives (Research) Fund,50000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2011-06-01,2012-06-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,University of Toronto,Subgrant - Operating,60000,Canadian dollar,Senior Scientist,Sonia,University of Toronto,TRUE,2017-04-01,2019-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Team Grant,3750000,Canadian dollar,Senior Scientist,Sonia,,TRUE,2007-04-01,2012-03-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Public Health Agency of Canada (PHAC),Team Grant ICMR,33333,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-05-01,2015-04-01,FALSE,Internal - Investigator,Principal Investigator,
Anand,Canadian Institutes of Health Research (CIHR),Team Grant: ICMR,452963,Canadian dollar,Senior Scientist,Sonia,,TRUE,2010-05-01,2015-04-01,FALSE,Internal - Investigator,Principal Investigator,
Andrew,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program,156000,Canadian dollar,Other,R. David,,TRUE,2017-04-01,2023-03-01,FALSE,,,
Andrew,Heart and Stroke Foundation of Canada (HSFC),Grant-in aid,196000,Canadian dollar,Other,R. David,,TRUE,2019-05-01,2021-04-01,FALSE,,,
Andrew,Heart and Stroke Foundation of Canada (HSFC),Operating,222000,Canadian dollar,Other,R. David,,TRUE,2006-07-01,2009-06-01,FALSE,,,
Andrew,Heart and Stroke Foundation of Canada (HSFC),Operating Grant,230000,Canadian dollar,Other,R. David,,TRUE,2014-05-01,2017-04-01,FALSE,,,
Arnold,Canadian Blood Services,,49836,Canadian dollar,Other,Donald,,TRUE,2003-01-01,2004-12-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),,1360000,Canadian dollar,Other,Donald,,TRUE,2019-06-01,2026-06-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),,25400000,Canadian dollar,Other,Donald,,TRUE,2019-05-01,2024-05-01,FALSE,,,
Arnold,Hamilton Academic Health Sciences Organization,AFP INNOVATION GRANT,179638,Canadian dollar,Other,Donald,,TRUE,2018-04-01,2020-03-01,FALSE,,,
Arnold,McMaster Unviersity,AFP Research Grant,5000,Canadian dollar,Other,Donald,McMaster Unviersity,TRUE,2012-05-01,2014-05-01,FALSE,,,
Arnold,McMaster University,AFP Research Grant,5000,Canadian dollar,Other,Donald,McMaster University,TRUE,2013-06-01,2015-06-01,FALSE,,,
Arnold,Canadian Blood Services,Blood Efficiency Accelerator Award Program,29964,Canadian dollar,Other,Donald,,TRUE,2019-03-01,2020-04-01,FALSE,,,
Arnold,Canadian Blood Services,Blood Supply Risk,159878,Canadian dollar,Other,Donald,,TRUE,2014-01-01,2016-12-01,FALSE,,,
Arnold,McMaster University,Endowed Chair,480000,Canadian dollar,Other,Donald,,TRUE,2015-03-01,2021-03-01,FALSE,,,
Arnold,Heart and Stroke Foundation of Ontario (The) (HSFO),Grant in Aid,449854,Canadian dollar,Other,Donald,,TRUE,2010-07-01,2013-07-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Health Services Evaluation & Interventions Research,290700,Canadian dollar,Other,Donald,,TRUE,2019-06-01,2021-06-01,FALSE,,,
Arnold,Regional Medical Associates,Internal Competition,6393,Canadian dollar,Other,Donald,,TRUE,2011-01-01,2012-01-01,FALSE,,,
Arnold,Canadian Blood Services,Intramural Research Grant Program 2019,278139,Canadian dollar,Other,Donald,,TRUE,2019-10-01,2021-10-01,FALSE,,,
Arnold,Novartis Canada Ltd,Investigator Initiated Grant,87518,Canadian dollar,Other,Donald,,FALSE,2019-07-01,2020-06-01,FALSE,,,
Arnold,"Hoffmann-la Roche Limited, Canada",Investigator-Sponsored Research Grant,650000,Canadian dollar,Other,Donald,,FALSE,2006-10-01,2010-10-01,FALSE,,,
Arnold,Novartis,Investigator-sponsored study,850000,Canadian dollar,Other,Donald,,FALSE,2013-01-01,2018-01-01,FALSE,,,
Arnold,Canadian Blood Services,McMaster Centre for Transfusion Medicine,1150000,Canadian dollar,Other,Donald,,TRUE,2017-08-01,2022-07-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),New Investigator Award,218458,Canadian dollar,Other,Donald,,TRUE,2008-07-01,2010-07-01,FALSE,,,
Arnold,Canadian Blood Services,None,102633,Canadian dollar,Other,Donald,,TRUE,2004-01-01,2006-12-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),None,221576,Canadian dollar,Other,Donald,,TRUE,2009-01-01,2012-12-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Open Competition,1606292,Canadian dollar,Other,Donald,,TRUE,2012-01-01,2016-01-01,FALSE,,,
Arnold,International Society on Thrombosis and Hemostasis,Operating Grant,14870,Canadian dollar,Other,Donald,International Society on Thrombosis and Hemostasis,TRUE,2018-01-01,2019-12-01,FALSE,,,
Arnold,Platelet Disorder Support Association,Operating Grant,25078,Canadian dollar,Other,Donald,Platelet Disorder Support Association,TRUE,2017-01-01,2018-12-01,FALSE,,,
Arnold,Hoffman LaRoche,Operating Grant,51163,Canadian dollar,Other,Donald,Hoffman LaRoche,FALSE,2018-01-01,2019-12-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Operating Grant,155465,Canadian dollar,Other,Donald,,TRUE,2010-03-01,2011-09-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Operating Grant,218458,Canadian dollar,Other,Donald,,TRUE,2008-10-01,2010-09-01,FALSE,,,
Arnold,Amgen Canada,Operating Grant,245307,Canadian dollar,Other,Donald,Amgen Canada,FALSE,2012-01-01,2016-12-01,FALSE,,,
Arnold,Canadian Blood Services,Operating Grant,283700,Canadian dollar,Other,Donald,,TRUE,2010-09-01,2013-09-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Operating Grant,458795,Canadian dollar,Other,Donald,,TRUE,2010-04-01,2013-04-01,FALSE,,,
Arnold,Ontario Ministry of Health and Long Term Care / Ontario Medical Association,Operating Grant,700000,Canadian dollar,Other,Donald,Ontario Ministry of Health and Long Term Care / Ontario Medical Association,TRUE,2014-01-01,2014-12-01,FALSE,,,
Arnold,Canadian Institutes for Health Research and Canadian Blood Services,Partnership grant in Transfusion Science,317468,Canadian dollar,Other,Donald,Canadian Institutes for Health Research and Canadian Blood Services,TRUE,2015-07-01,2018-06-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Project Grant,378429,Canadian dollar,Other,Donald,,TRUE,2016-07-01,2021-07-01,FALSE,,,
Arnold,Regional Medical Associates,Resident Research Award,4800,Canadian dollar,Other,Donald,,TRUE,2009-09-01,2010-09-01,FALSE,,,
Arnold,Regional Medical Associates,Scholarship Award,4980,Canadian dollar,Other,Donald,,TRUE,2005-01-01,2006-12-01,FALSE,,,
Arnold,Regional Medical Associates,Scholarship Award,4990,Canadian dollar,Other,Donald,,TRUE,2004-01-01,2005-12-01,FALSE,,,
Arnold,Canadian Blood Services,Small Projects Fund,15000,Canadian dollar,Other,Donald,,TRUE,2013-10-01,2014-10-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Spring Project Grant 2019,380000,Canadian dollar,Other,Donald,,TRUE,2019-10-01,2021-09-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Spring Project Grant 2019,465000,Canadian dollar,Other,Donald,,TRUE,2019-10-01,2021-09-01,FALSE,,,
Arnold,Canadian Institutes of Health Research (CIHR),Spring Project Grant 2019,2540000,Canadian dollar,Other,Donald,,TRUE,2019-10-01,2024-03-01,FALSE,,,
Arnold,McMaster University,Student Research Project Competition,6000,Canadian dollar,Other,Donald,,TRUE,2017-07-01,2018-07-01,FALSE,,,
Avram,Networks of Centres of Excellence (NCE),AGE-WELL,34772,Canadian dollar,Other,Robert,,TRUE,2016-08-01,2017-06-01,FALSE,,,
Avram,Azumio Inc,Azumio Startup Fund,30000,United States dollar,Other,Robert,Azumio Inc,FALSE,2022-01-01,2025-02-01,FALSE,,,
Avram,Canadian Cardiovascular Society,Bayer CCS Awards,30000,Canadian dollar,Other,Robert,,TRUE,2014-10-01,2017-06-01,FALSE,,,
Avram,Fonds de recherche du Qubec - Sant (FRQS),Bourses de formation en recherche post-diplme professionnel (Fellowship),107455,Canadian dollar,Other,Robert,,TRUE,2017-07-01,2019-06-01,FALSE,,,
Avram,Chaire Des Groseillers-Brard de recherche en cardiologie interventionnelle,Chaire Des Groseillers-Brard de recherche en cardiologie interventionnelle,50000,Canadian dollar,Other,Robert,Chaire Des Groseillers-Brard de recherche en cardiologie interventionnelle,TRUE,2021-09-01,2022-08-01,FALSE,,,
Avram,Fonds de recherche du Qubec - Sant (FRQS),Chercheur Clinicien FRQS- Junior 1,148772,Canadian dollar,Other,Robert,,TRUE,2022-06-01,2026-05-01,FALSE,,,
Avram,Institut de Cardiologie de Montral,Dr. Richard Gallo Research Fund,100000,Canadian dollar,Other,Robert,Institut de Cardiologie de Montral,FALSE,2022-01-01,2024-01-01,FALSE,,,
Avram,Fondation de l?Institut de Cardiologie de Montral (FICM),Fonds de dpart,250000,Canadian dollar,Other,Robert,,FALSE,2021-11-01,2025-11-01,FALSE,,,
Avram,Canadian Institute for Advanced Research (CIAR),Health Network Grant,975000,Canadian dollar,Other,Robert,,TRUE,2023-09-01,2026-09-01,FALSE,,,
Avram,University of California (San Francisco),Health-eHeart,110000,United States dollar,Other,Robert,,TRUE,2017-07-01,2019-06-01,FALSE,,,
Avram,"Institut de Cardiologie, Universit d'Ottawa",Strategic Research Endowed Fellowship,58000,Canadian dollar,Other,Robert,"Institut de Cardiologie, Universit d'Ottawa",TRUE,2020-07-01,2021-06-01,FALSE,,,
Avram,Foundation for the National Institutes of Health (FNIH),U01HL128606,2027474,United States dollar,Other,Robert,,TRUE,2018-07-01,2020-07-01,FALSE,,,
Ayeni,McMaster University,,2866,Canadian dollar,Other,Olufemi,,TRUE,2011-04-01,2012-03-01,FALSE,,,
Ayeni,McMaster University,,6460,Canadian dollar,Other,Olufemi,,TRUE,2010-07-01,2011-06-01,FALSE,,,
Ayeni,Hamilton Academic Health Sciences Organization,,24360,Canadian dollar,Other,Olufemi,,TRUE,2011-03-01,2012-06-01,FALSE,,,
Ayeni,McMaster University,,45000,Canadian dollar,Other,Olufemi,,TRUE,2011-07-01,2013-07-01,FALSE,,,
Ayeni,American Orthopaedic Society for Sports Medicine (AOSSM),American Orthopaedic Society for Sports Medicine (AOSSM),20000,Canadian dollar,Other,Olufemi,,TRUE,2012-07-01,2013-06-01,FALSE,,,
Ayeni,Arthroscopy Association of North America (AANA),Arthroscopy Association of North America,25000,Canadian dollar,Other,Olufemi,,TRUE,2017-05-01,2018-05-01,FALSE,,,
Ayeni,Arthroscopy Association of North America (AANA),Arthroscopy Association of North America,25000,Canadian dollar,Other,Olufemi,,TRUE,2017-05-01,2018-05-01,FALSE,,,
Ayeni,Canadian Institutes of Health Research (CIHR),Canadian Institutes of Health Research (CIHR) Operating Grant,345315,Canadian dollar,Other,Olufemi,,TRUE,2012-05-01,2012-07-01,FALSE,,,
Ayeni,Canadian Orthopaedic Foundation,Canadian Orthopaedic Research Legacy Grant,20000,Canadian dollar,Other,Olufemi,,TRUE,2013-03-01,2014-02-01,FALSE,,,
Ayeni,ConMed Canada,ConMed Canada Research Grant,15000,Canadian dollar,Other,Olufemi,ConMed Canada,TRUE,2016-12-01,2017-12-01,FALSE,,,
Ayeni,Hamilton Academic Health Sciences Organization,Hamilton Academic Health Sciences Organization Grant,29937,Canadian dollar,Other,Olufemi,,TRUE,2013-05-01,2014-04-01,FALSE,,,
Ayeni,Hamilton Health Sciences Foundation,Hamilton Health Sciences Foundation,30000,Canadian dollar,Other,Olufemi,,TRUE,2012-07-01,2014-06-01,FALSE,,,
Ayeni,McMaster University,McMaster Surgical Associates Innovation Grant,29996,Canadian dollar,Other,Olufemi,,TRUE,2015-07-01,2019-03-01,FALSE,,,
Ayeni,McMaster Surgical Association,McMaster Surgical Association,30000,Canadian dollar,Other,Olufemi,McMaster Surgical Association,TRUE,2017-07-01,2019-06-01,FALSE,,,
