studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
AFOTS Recurrence,Atrial Fibrillation Occurring Transiently with Stress: Program to Determine the Risks of AF Recurrence,5,Arrhythmia,"Atrial fibrillation (AF) often occurs transiently in the setting of an acute stressor (e.g. medical illness or surgery). Uncertainly exists as to whether AF Occurring Transiently with Stress (AFOTS) is secondary to a reversible precipitant and is benign, or is a first presentation of paroxysmal AF and associated with a risk of stroke. AFOTS is a common occurrence (up to 15-40% in intensive care), but there is a lack of evidence to guide its management and guidelines have called for further research in this area. The objective of this study is to use a sensitive strategy to determine the rate of recurrent AF among patients who experienced AFOTS following non-cardiac surgery or medical illness, compared to matched controls.",Publication,Observational,2017,2022,PHRI,,1,3,283
AMIOCAAF,Randomized Controlled Trial of Amiodarone vs. Catheter Ablation in Older Patients with Persistent Atrial Fibrillation - Vanguard Phase.  (numbers are vanguard/main trial),5,Arrhythmia,"AMIOCAAF is a clinical effectiveness trial comparing two treatment strategies for rhythm control in atrial fibrillation, amiodorone treatment versus catheter ablation. The vanguard phase will assess feasibility, compliance and event rate.

Hospitalization for CV cause or emergency department visit for atrial arrhythmia
",Publication,Interventional - Drug,2016,2017,PHRI,,1,1,9
AMPLITUDE-O,,,,,,,,,,,,,
ANNEXA-4,"Prospective, Open-Label Study of Andexanet Alfa in Patients Receiving a Factor Xa Inhibitor who have Acute Major Bleeding (ANNEXA-4)",6,Thrombosis,"In patients receiving a factor Xa inhibitor who are experiencing an acute major bleed, the objectives of this study are to demonstrate the decrease in anti-fXa activity and to evaluate hemostatic efficacy following andexanet treatment.",Publication,Interventional - Drug,2015,,Portola Pharmaceuticals,,9,118,479
ANNEXa-I,A Phase 4 Randomized Clinical Trial of Andexanet Alfa in Acute Intracranial Hemorrhage in Patients Receiving an Oral Factor Xa Inhibitor,7,Acute Coronary Syndromes,"This is a randomized, multicenter clinical trial of 440 patients designed to determine the efficacy and safety of andexanet compared to usual care in patients presenting with acute intracranial hemorrhage.  ",Publication,Interventional - Drug,2019,2023,Portola Pharmaceuticals,,24,264,591
Apixaban,Apixaban dose reduction in patients with elevated drug levels,6,Thrombosis,,Publication,Observational,2016,2018,Investigator Initiated,,1,,125
Apixaban Tria,,,,,,,,,,,,,
APOLLO,Aliskiren Prevention Of Later Life Outcomes (APOLLO) - A randomized controlled trial of Aliskiren in the prevention of major cardiovascular events in elderly people,8,CVD Prevention,"The APOLLO trial will provide new information regarding the role of aliskiren (with additional therapy with a diuretic or a CCB) in elderly individuals with SBP 130 to 159 mmHg (who may already be receiving BP lowering drugs and other preventive strategies that their physicians believe are indicated) in preventing major CV events and on global measures of physical, executive and cognitive function. It uses a 2 X 2 factorial design involving 11,000 elderly individuals followed for an average duration of 5 years.  In May 2012 it was decided to prematurely close the APOLLO trial by the sponsor. ",Publication,Interventional - Drug,2011,2012,Novartis,,17,145,1759
APSPIRING,,22,Other,,New,,,,,,,,
ARCADIA,The AtRial Cardiopathy and Antithrombotic Drugs In prevention After cryptogenic stroke randomized trial.,5,Arrhythmia,Recent data suggest that a thrombogenic atrial substrate can cause stroke in the absence of atrial fibrillation. The aim of the ARCADIA trial is to determine if apixaban is superior to aspirin for the prevention of recurrent stroke in patients with cryptogenic ischemic stroke and atrial cardiopathy.,Publication,Interventional - Drug,2021,2023,Columbia University - Mitchell SV Elkind,,1,11,123
ARTESiA,Apixaban for the Reduction of Thrombo-Embolism in Patients with Device-Detected Sub-Clinical Atrial Fibrillation,5,Arrhythmia,"To determine if treatment with apixaban, compared with aspirin, will reduce the risk of stroke and systemic embolism in patients with device-detected sub-clinical atrial fibrillation (SCAF) and additional risk factors for stroke. Current guidelines recommend treatment with oral anticoagulant for stroke prevention in clinical AF but opinion leaders are uncertain of the role of oral anticoagulants for patients with SCAF. 4000 patients from approximately 240 sites in Canada, USA and Europe will be randomized double-blind to receive apixaban (5mg bid or 2.5 mg bid as per labelling) or aspirin (81mg OD). The study will be event driven and will continue until 248 patients have experienced a primary outcome event (stroke or systemic embolism). Estimated mean follow-up time is 3 years.

Composite of stroke and systemic embolism
",Publication,Interventional - Drug,2015,2023,PHRI,,16,288,4013
ASA CABG,Multiple Daily Doses of Aspirin to Overcome Aspirin Hyporesponsiveness Post Coronary Bypass Surgery: A randomized control trial,9,Perioperative,"To determine whether multiple daily doses of aspirin can overcome aspirin hyporesponsiveness in the critical first 7 days post CABG, when there is an increase in platelet turnover",Publication,Interventional - Drug,2011,2013,NIF,,1,1,110
ASPIRE,A randomized blinded pilot trial of fondaparinux sodium (Arixtra®) versus unfractionated heparin in addition to standard therapy in a broad range of patients undergoing percutaneous coronary intervention -ASPIRE Pilot,7,Acute Coronary Syndromes,"A randomized, blinded, controlled, parallel group pilot study of two dosages of fondaparinux vs. UFH during PCI stratified by planned upfront use of GPIIb/IIIa inhibitors versus no planned use of GPIIb/IIIa inhibitors.",Publication,Interventional - Drug,2003,2003,Organon,,3,23,350
ASPIRE-AF,"Anticoagulation for stroke prevention in patients with a recent event of 
perioperative atrial fibrillation after noncardiac surgery ",9,Perioperative,"Prospective, randomized, open-label clinical trial with blinded outcome assessment (PROBE design). To assess the feasibility of a randomized controlled trial of non-vitamin K oral anticoagulants versus usual care in patients with perioperative atrial fibrillation (AF) after noncardiac surgery and additional stroke risk factors.",Recruitment,Interventional - Drug,2019,2028,PHRI,,13,53,261
ASPIRING,,,,,,,,,,,,,
ASSERT,Asymptomatic Atrial Fibrillation and Stroke Evaluation in Pacemaker Patients and the Atrial Fibrillation Reduction Atrial Pacing Trial,5,Arrhythmia,"To evaluate the hypothesis among patients with a standard indication for pacing and no previous history of AF, detection of AHRE predicts an increased risk of stroke and systemic embolism. The second hypothesis to be tested is that overdrive atrial pacing with the AF suppression algorithm will reduce the risk of symptomatic AF in patients with standard indication for pacing and no previous history of AF.

Primary Outcomes: Asymptomatic AF Stroke Evaluation, first occurance of either component of the composite of 1. Ischemic Stroke 2. Non-CNS systemic embolism. Trial of AF Suppression Algorithm, Symptomatic or asymptomatic atrial tachyarrhythmia (&gt;6mins) documented by 12 lead ECG, or surface ECG rhythm strip. Secondary Outcomes: 1. Symptomatic atrial tachyarrhythmia (&gt;6mins) documented by 12 lead ECG, or surface ECG rhythm strip. 2. Symptomatic or asymptomatic atrial tachyarrhythmia (&gt;6mins) documented by 12 lead ECG, surface ECG rhythm strip or pacemaker telemetry (EGMs only). 3. Total cardiovascular events (composite of stroke, myocardial infarction, vascular death, systemic embolism or admission to hospital for heart failure). 4. AF Burden as derived from the pacemaker telemetry. 5. Major bleed.
",Publication,Interventional - Device,2007,2011,,,23,136,2580
ASSERT II,Prevalence of Sub-Clinical Atrial Fibrillation Using an Implantable Cardiac Monitor in Patients with Cardiovascular Risk Factors (ASSERT-II),5,Arrhythmia,"Patients with known cardiovascular risk factors and left atrial enlargement, but without prior AF will have a continuous ECG monitor implanted (St. Jude Medical ConfirmÃ‚Â® Implantable Cardiac Monitor) to detect the incidence of sub-clinical AF and study the relationship between sub-clinical AF and left atrial volume and other potential predictors. Patients will be recruited from a variety of clinical settings (HF clinics, stroke clinics, diabetes clinics, pre-op and pre-catheterization clinics) and in many cases the implant can be done in conjunction with a planned surgery or procedure. All patients will be followed at 1, 3, 6 and 9 months and then undergo a final visit at 18 months of follow-up or after the last patient has been followed for 9 months (whichever comes first).

",Publication,Interventional - Device,2012,2016,PHRI,,2,25,273
ASSERT III,"Prevalence of Sub-Clinical Atrial Fibrillation in Elderly Patients with Hypertension, Detected Using an External Loop Recorder Using Automatic Algorithms for AF Detection: (ASSERT-III)",5,Arrhythmia,"In the ASSERT study, subclinical Atrial Fibrillation (AF) detected by a pacemaker over a prolonged period of time was shown to increase a patient's risk of stroke by almost 3-fold. Less evasive techniques using external loop recorders now affords the possibility for longer term monitoring and the possibility of diagnosing a substantial portion of this sub-clinical AF. Patients most at risk for developing AF are those who are elderly and have a history of hypertension. These patients will be invited to participate in the ASSERT III study where they will be monitored over a 60 day period for the development of subclinical AF via an external loop recorder. The device will automatically record and transmit ECGs through a BlackBerry Smartphone. The primary hypothesis is that among this elderly population with hypertension and a least one other risk factor for AF, the monitoring will detect AF in at least 10% of patients who would be potential candidates for anticoagulant therapy.

",Publication,Interventional - Device,2014,2015,PHRI,,1,8,129
ATLAS S-ICD,Avoid Transvenous Leads in Appropriate Subjects,5,Arrhythmia,"ATLAS S-ICD is a multi-centered, randomized, open-label, parallel group trial evaluating whether a subcutaneous ICD (S-ICD) reduces perioperative complications compared to a transvenous ICD (TV-ICD), using a composite safety outcome. This study will recruit patients with a standard primary or secondary indication for an ICD who are eligible for either a TV-ICD or S-ICD. They will be randomized to receive either a TV-ICD (control arm) or an S-ICD (experimental arm). Patients randomized to the S-ICD arm will receive a Boston Scientific Emblemâ„¢ device, or subsequent generation Boston Scientific sub-cutaneous ICD. Safety will be assessed by comparing a composite of safety parameters measured at 6 months following implant. Patients will also be followed for between 12 and 48 months to measure: late device-related complications; mortality (total and arrhythmic death); and the rate and success of appropriate ICD therapies.

The primary endpoint will be measured at 6 months following ICD implantation, and will be a composite of lead-related perioperative complications, including:Hemothorax or pneumothoraxCardiac perforation, tamponade, pericardial effusion or pericarditisLead dislodgement or loss of pacing/sensing requiring revisionNew moderate-severe or severe tricuspid insufficiency (3+ or 4+)Ipsilateral upper extremity deep venous thrombosisA secondary 6-month safety composite will include the following, in addition to the above complications:Device-related infection requiring surgical revisionSignificant wound hematoma (requiring evacuation or interruption of oral anticoagulation)Myocardial infarctionStrokeDeath
",Publication,Interventional - Device,2017,2022,PHRI,,1,14,545
AVERROES,Apixaban Versus Acetylsalicylic Acid (ASA) to Prevent Stroke in Atrial Fibrillation Patients Who Have Failed or are Unsuitable for Vitamin K Antagonist Treatment: A Randomized Double Blind Trial,5,Arrhythmia,"To determine if apixaban 5 mg BID (2.5 mg BID in selected patients) is superior to ASA (81 to 324 mg QD) for preventing the composite outcome of stroke or systemic embolism in patients with atrial fibrillation and at least one additional risk factor for stroke who have failed or are unsuitable for vitamin K antagonist therapy.

Composite of stroke or systemic embolism
",Publication,Interventional - Drug,2007,2010,,,36,433,5600
AVERROES OL Extension LTOLE,Long Term Open Label Extension of the AVERROES trial.,5,Arrhythmia,"To provide ongoing open-label apixaban therapy to participants of the AVERROES trial until apixaban was approved and commercially available in their respective countries.  Participation in LTOLE was optional for all sites/participants and required separate participant informed consent and approval from health authorities and local ethics committees.  Follow-up visits occur at 1 month and every 6 months after enrollment into LTOLE and continue until the participant withdraws or the decision is made to end the LTOLE study at a given country/site due to availability of commercial apixaban or suitable alternative.  Outcome and safety assessments are performed in a similar fashion as in AVERROES follow-up visits.

Participant safety is monitored and reported regularly, however there is no 'endpoint'
",Publication,Interventional - Drug,2010,2017,Bristol-Myers Squibb,,36,419,3280
AXIOMATIC-SSP,A Study on an oral Factor XIa Inhibitor (BMS-986177) for the Prevention of a Stroke in Patients Receiving Aspirin and Clopidogrel,10,Stroke,"A Global, Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging Study of BMS-987177, an Oral Factor XIa Inhibitor, for the Prevention of New Ischemic Stroke or New Silent Brain Infraction in Patients Receiving Aspirin and Clopidogrel Following Acute Non-Hemorrhagic Stroke or Transient Ischemia Attack (TIA).

The purpose of this clinical study is to determine whether the addition of an oral Factor XIa Inhibitor to Aspirin and Clopidogrel is more effective than standard therapy in secondary stroke prevention.",Publication,Interventional - Drug,2019,2022,Bristol-Myers Squibb,,,367,2350
Bariatric Registry,Ontario Bariatric Network Referral Portal and Registry,11,Obesity,The Ontario Bariatric Network (OBN)  collaboratively provides comprehensive medical and surgical bariatric services for persons suffering from obesity and obesity-related disease and advance patient care in Ontario through education and research.,Recruitment,Observational - Registry,2010,2030,Ontario Bariatric Network,,1,12,41112
BAV,Beta Blockers and Angiotensin Receptor Blockers in Bicuspid Aortic Valve Disease Aortopathy (BAV Study),8,CVD Prevention,To evaluate the efficacy of beta blockers and angiotensin receptor blockers in the prevention of aortic dilatation and associated complications in adults with bicuspid aortic valve (BAV) disease.,Publication,Interventional - Drug,2011,2016,PHRI,,1,12,85
BENEFIT,Benznidazole Evaluation for Interrupting Trypanosomiasis Trial,12,Neglected Diseases,A randomized double-blind placebo controlled clinical trial of Benznidazole in patients with chronic Chagas´ heart disease,Publication,Interventional - Drug,2004,2015,PHRI,,5,49,2854
B-FREE,"Benzodiazepine-free cardiac anesthesia for reduction of postoperative delirium in the intensive care unit (B-Free): A multicentre, randomized, cluster crossover trial",9,Perioperative,"B-FREE is a pragmatic, multicentre, cluster crossover trial to evaluate whether a policy limiting the use of intra-operative benzodiazepine reduces post-operative delirium when compared with a policy of ad libitum administration. The knowledge generated by this study will provide the basis for cardiac anesthesia practice guidelines.",Close Out,Interventional - Drug,2019,2023,PHRI,,2,20,19768
BIOMARKER DISCOVERY,,,,,,,,,,,,,
BMS-AXIOMATIC-SSP,,,,,,,,,,,,,
BRACKETS,Bleeding Reduction in Acute and Chronic KidnEy patienTs having Surgery (BRACKETS) Pilot Trial,9,Perioperative,"This a a 100 patient pilot which is multicentre, open-label, randomized controlled trial of prophylactic preoperative tranexamic acid (TXA) versus no prophylactic TXA and, using a partial factorial design, of prophylactic preoperative desmopressin versus no prophylactic desmopressin. This is to determine the feasibility of a large international randomized trial to establish the efficacy and safety of TXA and desmopressin in patients with severe kidney disease having major noncardiac surgery. ",Planning,Interventional - Drug,2024,2026,PHRI,,,10,100
BRAVE,Bariatric Surgery for the Reduction of cArdioVascular Events Randomized Controlled Trial (BRAVE),11,Obesity,"To demonstrate the efficacy, safety and cost effectiveness of enrolling patients with high-risk cardiovascular disease (CVD) into an RCT of bariatric surgery versus medical weight management (MWM).   2000 patients will be recruited from approximately 50 centers in Canada and internationally",Recruitment,Interventional - Procedure,2020,2028,PHRI,,2,14,106
CAHHMS,,,,,,,,,,,,,
Canadian Alliance for Healthy Hearts and Minds,Canadian Alliance for Healthy Hearts and Minds,13,Population Health,"Cardiac, vascular, and cognitive dysfunction have a strong impact on the quality of life, longevity and health care costs, in Canada and globally. It is of paramount importance to understand the early determinants of such dysfunction and its progression to clinical events, especially given the increasing prevalence of known cardiovascular (CV) risk factors, which result in organ dysfunction including atrial fibrillation, congestive heart failure and dementia, threatening the financial sustainability of health care systems.
Furthermore, two important knowledge gaps remain:
First, the â€œcauses of the causesâ€, specifically the influence of contextual factors such as environmental conditions on risk factors are not well understood. Their precise characterization in communities across Canada will aid policy development and inform population health interventions aimed at reducing the risk for cardiac, vascular and cognitive dysfunction.
Second, there is a lack of sensitive predictors and markers for early, subclinical stages on a systematic (blood) or regional (tissue) level.
The Canadian Parternership Against Cancer (CPAC) has requested proposals to build in cardiovascular phenoytping into their Canadian Partnership for Tomorrow Project (CPTP) cohorts from British Columbia, Alberta, Ontario, Quebec and Atlantic Canada. Our research team has proposed to build on the existing strengths of and closely collaborate with and leveraging established Canadian cohorts, i.e. the Canadian Longitudinal Study on Aging (CLSA), the Prospective Urban Rural Evaluation (PURE), and the Montreal Heart Institute (MHI) biobank, and to additionally recruit 2,000 Reserve-based Indigenous peoples from across Canada who are a high-risk group for CVD and cancer.
The objectives of the Alliance are:

To understand the role of socio-environmental and health system contextual factors (societal structure, built environment, nutrition environment, tobacco environment, access to and quality of health services) on individual CV risk factors, subclinical vascular disease, and clinical CV events.
 To identify early markers for sub-clinical dysfunction in the brain, heart and abdomen using magnetic resonance imaging, and to investigate the contextual and individual level determinants (i.e. biologic factors such as genetic and molecular signatures) of this dysfunction, as well as to assess the predictive value of sub-clinical dysfunction on the development of clinical CV events.

Canadian Partnership for Tomorrow Project (CPTP) cohorts:
 British Columbia Generations Project (BCGP)
 Alberta Tomorrow Project
 Ontario Health Study
 CARTaGENE
 Atlantic Partnership for Tomorrowâ€™s Health (APATH)

2 Partner Cohorts:
PURE (PHRI study)
 Montreal Heart Institute (MHI) Biobank

1 New Aboriginal Participants Cohort:

 Working with 10 communities across Canada
""Baseline assessment: After completing informed consent, detailed information on individualsâ€™ cancer and cardiovascular risk factors will be obtained using questionnaire and where required, physical measures and biological samples. This includes blood pressure, anthropometrics, lipids, diabetes assessment, health behaviorsâ€™ including dietary assessment, physical fitness and smoking, social factors, mental health assessment, and measures of cognitive function, plus biologics (including DNA, urine and serum blood samples).
MRI Scan at Baseline: In a standardized, comprehensive and cost-efficient multi-parametric MRI scan will be attempted in all subjects. This includes the brain (ischemic white matter disease, covert strokes, cerebral atrophy and cerebral connectivity), heart (morphology, volumes and mass, global and regional wall motion, pericardial fat, covert myocardial infarction, non-ischemic fibrosis, infiltration, perfusion and oxygenation), blood vessels (plaque volume) and abdomen (visceral adipose tissue and liver fat). The proposed MRI protocol that combines several techniques in a single scan is efficient and tolerable.
Follow-up Assessment: We plan to follow-up all participants prospectively every 3 years by conducting a face-to-face visit. In the interim, contact will be maintained by telephone, email, and the internet. We will also seek permission to collect health card numbers to enable record linkage with the health outcomes databases in the province of origin.""
",Follow Up,Observational,2013,2027,PHRI,,1,,9700
CANPWR,Canadian Pediatric Weight Management Registry,2,Childhood Risk Factors,"To enroll and monitor children participating in weight management programs across Canada and to characterize the metabolic and psychosocial comorbidities, identify the determinants of these comorbidities and examine whether these abnormalities change over time. We will examine subgroups of obese children, based on responsiveness to the current treatment paradigms, to identify potential 'obesity phenotypes'.

",Publication,Observational - Registry,2011,2020,PHRI,,1,10,1320
CAPTIVA Canada,,22,Other,,Planning,,2023,2027,,,,15,280
CarDIA,Coronary Computed Tomographic Angiography to Optimize the Diagnostic Yield of Invasive Angiography in Lower Risk Patients,14,Health Systems,"Coronary artery disease (CAD) is the leading cause of death world-wide. The gold-standard test used to diagnose CAD is invasive coronary angiography. However, recent provincial data suggests that it is being over-utilized. Data from Local Health Integrated Network (LHIN) IV show that, in low-risk outpatients, the proportion of invasive angiograms without significant CAD is approximately 70%. Coronary Computed Tomographic Angiography (CCTA) is a non-invasive test that is highly accurate for the detection of significant CAD in select populations and may be better suited for assessment of these low-risk patients. We propose to use our LHIN wide central triage for invasive angiography to identify such low-risk patients and direct them to CCTA as a first step. By considering detailed patient characteristics through our triage process, we are working towards identifying the right diagnostic test for the right patient to improve health care delivery, reduce expenditures and patient risk.",Publication,Observational,2018,2020,PHRI,,1,2,178
Cardiac Catherization Registry ,"Developing an Objective, Efficient and Cost-Effective Approach to Managing the Waiting List for Cardiac Catheterization",15,Knowledge Translation,,Publication,Observational - Registry,1998,2011,PHRI,,,,
CARDIOMAPPS,,,,,,,,,,,,,
CATIS-ICAD,Combination Antithrombotic Treatment for prevention of recurrent Ischemic Stroke in IntraCranial Atherosclerotic Disease: Protocol for a pilot randomized trial,10,Stroke,"CATIS-ICAD is the first pilot RCT assessing safety of low-dose rivaroxaban plus ASA in patients with recent ischemic stroke / high-risk TIA secondary to ICAD, an area where a huge interest exists within the stroke community. Demonstrating comparable safety to antiplatelet therapy is likely to have far reaching clinical impact, as this combination therapy then potentially could be used for patients with both intracranial and extracranial atherosclerotic disease. (COMPASS trial already established that it is safe and effective in stroke prevention in extracranial atherosclerotic disease) Demonstration of safety and a trend towards efficacy in rivaroxaban plus ASA arm when compared with the ASA arm will provide a platform for a phase III efficacy trial.",Publication,Interventional - Drug,2020,2023,PHRI,,1,10,115
C-CUSP ED,Canadian Community Utilization of Stroke Prevention Study – Emergency Department,5,Arrhythmia,"Research question: Does a multidisciplinary emergency department-based intervention, using patient educational materials and prescription of novel oral anticoagulant (NOAC) with immediate follow-up by a community-based clinic dedicated to the care of atrial fibrillation (AF), improve emergency physician prescription of new NOAC for patients presenting to the emergency department with AF?

Rate of new oral anticoagulant (OAC) prescriptions at emergency department (ED) discharge in patients with atrial fibrillation who are OAC eligible but were not on OAC at ED presentation
",Publication,Interventional - Procedure,2015,2017,PHRI,,1,3,631
C-CUSP ED Chart Review,Canadian Community Utilization of Stroke Prevention Study – Emergency Department Chart Review,5,Arrhythmia,,Publication,Observational,2017,2018,PHRI,,1,3,360
C-CUSP ED Pilot,Canadian Community Utilization of Stroke Prevention Study – Emergency Department,5,Arrhythmia,,Publication,Interventional - Procedure,2015,2017,PHRI,,1,3,631
CEASE - VT,Catheter Ablation Versus Amiodarone for Shock Prophylaxis in Defibrillator Patients with Ventricular Tachycardia,5,Arrhythmia,"To determine if Implantable Cardioverter Defibrillators (ICDs) provide a shock or pacing therapy to bring back a normal heart beat when a patient experiences a dangerous abnormal heart rhythm such as ventricular tachycardia (VT).  ICDs are very successful in bringing back a normal heart beat when VT occurs, but they do not prevent further dangerous heart rhythms from occurring.  This study is designed to determine the best way to manage patients who have an ICD and who continue to have episodes of VT.  There are two methods for treatment the VT: 1) Ablation, and 2) Medication.  An ablation procedure involves placing a flexible catheter (insulated wire) in the groin area and threading it into the heart.  After the doctor has located the affected area responsible for the VT, radiofrequency energy is delivered by the power generator through the catheter to the inside of the heart.  The radiofrequency energy ablates (burns) a small area of the heart tissue thought to cause the VT.  A medication called Amiodarone is an ""anti-arrhythmic"" prescribed to prevent abnormal heart rhythms from recurring.  The purpose of this study is to compare these two different methods for treating VT.  Treatment with ablation and amiodarone are both considered the standard of care for patients with VT but they have not been compared directly in a study like this before.

appropriate ICD therapy (ATP + shocks), slow VT and sudden cardiac death
",Publication,Interventional - Procedure,2010,2012,PHRI,,3,4,12
